age, Job_Category,Level,Nb_Years_School,Ed,marital-status,occupation,sex,gains,losses,hours-per-week,Orig_Country,Output_Class
25, Private,12th,12,7, Never-married, Machine-op-inspct, Male,0,0,40, USA, Low
38, Private, HS-grad,13,9, Married-civ-spouse, Farming-fishing, Male,0,0,50, USA, Low
28, Local-gov, Assoc-acdm,16,12, Married-civ-spouse, Protective-serv, Male,0,0,40, USA, High
44, Private, Few Years College,14,10, Married-civ-spouse, Machine-op-inspct, Male,7688,0,40, USA, High
18, ?, Few Years College,14,10, Never-married, ?, Female,0,0,30, USA, Low
34, Private, 10th,10,6, Never-married, Other-service, Male,0,0,30, USA, Low
29, ?, HS-grad,13,9, Never-married, ?, Male,0,0,40, USA, Low
63, Self-emp-not-inc, Prof-school,19,15, Married-civ-spouse, Prof-specialty, Male,3103,0,32, USA, High
24, Private, Few Years College,14,10, Never-married, Other-service, Female,0,0,40, USA, Low
55, Private, 7th-8th,8,4, Married-civ-spouse, Craft-repair, Male,0,0,10, USA, Low
65, Private, HS-grad,13,9, Married-civ-spouse, Machine-op-inspct, Male,6418,0,40, USA, High
36, Federal-gov, Bachelors,17,13, Married-civ-spouse, Adm-clerical, Male,0,0,40, USA, Low
26, Private, HS-grad,13,9, Never-married, Adm-clerical, Female,0,0,39, USA, Low
58, ?, HS-grad,13,9, Married-civ-spouse, ?, Male,0,0,35, USA, Low
48, Private, HS-grad,13,9, Married-civ-spouse, Machine-op-inspct, Male,3103,0,48, USA, High
43, Private, Masters,18,14, Married-civ-spouse, Exec-managerial, Male,0,0,50, USA, High
20, State-gov, Few Years College,14,10, Never-married, Other-service, Male,0,0,25, USA, Low
43, Private, HS-grad,13,9, Married-civ-spouse, Adm-clerical, Female,0,0,30, USA, Low
37, Private, HS-grad,13,9, Widowed, Machine-op-inspct, Female,0,0,20, USA, Low
40, Private, Doctorate,20,16, Married-civ-spouse, Prof-specialty, Male,0,0,45, ?, High
34, Private, Bachelors,17,13, Married-civ-spouse, Tech-support, Male,0,0,47, USA, High
34, Private, Few Years College,14,10, Never-married, Other-service, Female,0,0,35, USA, Low
